Timestamp,Item,User
2025-02-22 15:10:26,Juice,Marcus
2025-02-22 16:04:26,Coffee,Marcus
2025-02-22 15:50:26,Soup,Jessica
2025-02-22 14:22:26,Soup,Elizabeth
2025-02-22 17:00:26,Soup,Linda
2025-02-22 14:25:26,Coffee,Olivia
2025-02-22 16:14:26,Juice,Joseph
2025-02-22 15:16:26,Coffee,Jessica
2025-02-22 15:51:26,Soup,Robert
2025-02-22 15:05:26,Salad,Richard
2025-02-22 16:43:26,Salad,Jessica
2025-02-22 17:28:26,Sandwich,Elizabeth
2025-02-22 14:18:26,Salad,Elizabeth
2025-02-22 14:36:26,Soup,Jennifer
2025-02-22 15:45:26,Coffee,Rachel
2025-02-22 17:36:26,Sandwich,David
2025-02-22 15:08:26,Salad,Stephen
2025-02-22 14:45:26,Salad,Alexander
2025-02-22 17:09:26,Salad,James
2025-02-22 16:24:26,Sandwich,George
2025-02-22 16:44:26,Juice,Robert
2025-02-22 16:40:26,Coffee,Jennifer
2025-02-22 16:55:26,Coffee,Stephen
2025-02-22 14:18:26,Juice,Robert
2025-02-22 17:54:26,Soup,Helen
2025-02-22 16:55:26,Juice,George
2025-02-22 17:29:26,Soup,Sarah
2025-02-22 15:38:26,Soup,Lisa
2025-02-22 17:33:26,Soup,George
2025-02-22 15:12:26,Coffee,Patricia
2025-02-22 15:28:26,Juice,Andrew
2025-02-22 15:41:26,Sandwich,Daniel
2025-02-22 17:02:26,Soup,Sandra
2025-02-22 15:04:26,Soup,Amanda
2025-02-22 16:52:26,Sandwich,Robert
2025-02-22 16:23:26,Juice,Kenneth
2025-02-22 14:43:26,Soup,Katherine
2025-02-22 15:20:26,Salad,Emma
2025-02-22 16:36:26,Sandwich,Nancy
2025-02-22 16:13:26,Coffee,Thomas
2025-02-22 18:01:26,Soup,Sophie
2025-02-22 15:35:26,Juice,Rachel
2025-02-22 17:42:26,Coffee,Andrew
2025-02-22 16:47:26,Coffee,Elizabeth
2025-02-22 14:20:26,Sandwich,Jessica
